,espn_id,position,cbs_id,fleaflicker_id,birthdate,mfl_id,merge_name,college,weight,stats_global_id,rotoworld_id,stats_id,yahoo_id,draft_round,draft_ovr,name,age,db_season,sportradar_id,gsis_id,rotowire_id,fantasy_data_id,cfbref_id,height,draft_year,draft_pick,sleeper_id,twitter_username,fantasypros_id,team,ktc_id,pfr_id,swish_id,pff_id,nfl_id
0,4431611.0,QB,26695775.0,,2001-11-18,16579,caleb williams,USC,215.0,0.0,,40900.0,40900.0,1.0,1.0,Caleb Williams,23.2,2024,49d4b627-3f19-49a8-ae33-f539e0fb1f88,00-0039918,17695.0,,caleb-williams-3,73.0,2024.0,1.0,11560.0,,23084.0,CHI,1550.0,WillCa03,1286445.0,,
1,4431452.0,QB,26695757.0,,2002-08-30,16580,drake maye,North Carolina,225.0,0.0,,40881.0,40881.0,1.0,3.0,Drake Maye,22.4,2024,d0c0630e-8925-4b81-a32b-e4146d95f01f,00-0039851,17673.0,,drake-maye-1,76.0,2024.0,3.0,11564.0,,23046.0,NEP,1551.0,MayeDr00,1286803.0,,
2,4426348.0,QB,3123337.0,,2000-12-18,16581,jayden daniels,LSU,210.0,0.0,,40896.0,40896.0,1.0,2.0,Jayden Daniels,24.1,2024,bab8c65a-9fff-410d-8e34-dc2f636d890e,00-0039910,17692.0,,jayden-daniels-1,76.0,2024.0,2.0,11566.0,,22902.0,WAS,1552.0,DaniJa02,1161228.0,,
3,4426338.0,QB,3121193.0,,2000-02-25,16582,bo nix,Oregon,217.0,0.0,,40875.0,40875.0,1.0,12.0,Bo Nix,24.9,2024,f056c8ed-6ee5-492c-af11-3f7e3d97195c,00-0039732,16995.0,,bo-nix-1,74.0,2024.0,12.0,11563.0,,22910.0,DEN,1553.0,NixxBo00,1161899.0,,
4,4360423.0,QB,2963496.0,,2000-05-08,16583,michael penix,Washington,220.0,0.0,,40889.0,40889.0,1.0,8.0,Michael Penix Jr.,24.7,2024,6499a161-b221-4591-b122-d99ece1be64b,00-0039917,17700.0,,michael-penix-jr-1,74.0,2024.0,8.0,11559.0,,22973.0,ATL,1554.0,PeniMi00,1107478.0,,
5,4433970.0,QB,26695214.0,,2003-01-20,16584,jj mccarthy,Michigan,219.0,0.0,,40905.0,40905.0,1.0,10.0,J.J. McCarthy,22.0,2024,587cc3c3-aeda-4ac7-8803-a7e4db195534,00-0039923,17689.0,,jj-mccarthy-1,75.0,2024.0,10.0,11565.0,,23018.0,MIN,1555.0,McCaJJ00,1287599.0,,
6,4360698.0,QB,2962193.0,,2000-03-06,16585,joe milton,Tennessee,246.0,0.0,,41060.0,41060.0,6.0,193.0,Joe Milton,24.9,2024,74043480-24ef-4c26-99d4-18f43d5b41d3,00-0039398,17830.0,,joe-milton-2,77.0,2024.0,17.0,11557.0,,25967.0,NEP,1556.0,MiltJo00,1112338.0,,
7,4426339.0,QB,3125863.0,,2000-09-28,16586,spencer rattler,South Carolina,211.0,0.0,,41043.0,41043.0,5.0,150.0,Spencer Rattler,24.3,2024,e0eecf78-86b2-4ee8-8ac9-d7713a138765,00-0039376,17782.0,,spencer-rattler-1,72.0,2024.0,15.0,11562.0,,23081.0,NOS,1557.0,RattSp00,1174752.0,,
8,4361994.0,QB,,,1998-10-15,16587,sam hartman,Florida,306.0,0.0,,41238.0,,,,Sam Hartman,26.3,2024,007971f0-f012-11ed-833c-ebfbb713adc7,00-0039677,17664.0,,,77.0,2024.0,,11376.0,,,FA,,,1117351.0,,
9,4685039.0,QB,3163083.0,,2001-09-30,16588,michael pratt,Tulane,217.0,0.0,,41130.0,41130.0,7.0,245.0,Michael Pratt,23.3,2024,da5f9694-1b77-4f6e-acea-6fc76145f79a,00-0039238,16996.0,,michael-pratt-1,74.0,2024.0,25.0,11561.0,,25226.0,TBB,,PratMi00,1214318.0,,
